station_m	X_ref_m	Y_ref_m	psi_ref_rad	curvature_1pm	local_speed_limit_mps	vx_ref_mps	yaw_rate_ref_radps
71	70.8794346130809	1.89409636761451	0.161980431563248	-0.00138385475500508	15	15	-0.0207578213250761
71.25	71.1261690406406	1.93437193656549	0.161586093174239	-0.00177025649232293	15	15	-0.026553847384844
71.5	71.372921271051	1.97453828499449	0.161095303317087	-0.002155314493065	15	15	-0.032329717395975
71.75	71.6196951115009	2.01457164476103	0.160508435927707	-0.00253872457578502	15	15	-0.0380808686367753
72	71.8664943142787	2.0544483435438	0.159825941029195	-0.00292018535983951	15	15	-0.0438027803975927
72.25	72.1133225672903	2.09414482191843	0.159048343247787	-0.00329939476958863	15	15	-0.0494909215438294
72.5	72.3601834846426	2.13363765112608	0.1581762436444	-0.00367604506438002	15	15	-0.0551406759657003
72.75	72.6070805973835	2.17290355116046	0.157210320715597	-0.00404982453106389	15	15	-0.0607473679659584
73	72.8540173444272	2.21191940914935	0.156151331378868	-0.00442041801877202	15	15	-0.0663062702815803
73.25	73.1009970636904	2.25066229805997	0.155000111706211	-0.00478750742268313	15	15	-0.071812611340247
73.5	73.348022983482	2.28910949558589	0.153757577667527	-0.00515076638023265	15	15	-0.0772614957034898
73.75	73.5950982141479	2.32723850337321	0.152424728516095	-0.00550986020008676	15	15	-0.0826479030013014
74	73.8422257398774	2.3650270677535	0.151002647567483	-0.00586445364898724	15	15	-0.0879668047348087
74.25	74.0894084109837	2.40245319953273	0.149492501691601	-0.00621420772584336	15	15	-0.0932131158876504
74.5	74.3366489364617	2.43949519465448	0.147895543704562	-0.0065587754969556	15	15	-0.0983816324543341
74.75	74.583949876899	2.47613165536781	0.146213113943123	-0.00689780381987581	15	15	-0.103467057298137
75	74.831313637773	2.51234151187144	0.144446641794624	-0.00723093336652464	15	15	-0.10846400049787
75.25	75.0787424631592	2.54810404444673	0.142597647259861	-0.00755779879541663	15	15	-0.113366981931249
75.5	75.3262384298781	2.58339890608862	0.140667742396915	-0.00787802982099045	15	15	-0.118170447314857
